test_input,test_expected,regexp_search,regexp_replace,test_url
Avenue de la Gare,Av. de la Gare,^Avenue\M,Av.,
1ère Avenue du Domaine-Patry,1re Av. du Domaine-Patry,^1([eè]?r)?e Avenue\M,1ʳᵉ Av.,
1ere Avenue du Domaine-Patry,1re Av. du Domaine-Patry,,,
1re Avenue du Domaine-Patry,1re Av. du Domaine-Patry,,,
1e Avenue de la Montée-Gordon,1re Av. de la Montée-Gordon,,,
2e Avenue du Lac-des-Pins,2e Av. du Lac-des-Pins,(?<=^[0-9]*)e Avenue,ᵉ Av.,
201e Avenue,201e Av.,,,
Boulevard de Pérolles,Bd de Pérolles,Boulevard,Bd,
Chemin des bains,Ch. des bains,Chemin,Ch.,
Esplanade de lancienne gare,Espl. de lancienne gare,Esplanade,Espl.,
Impasse de la forêt,Imp. de la forêt,Impasse,Imp.,
Passage de Cardinal,Pass. de Cardinal,Passage,Pass.,
Promenade du Barrage,Prom. du Barrage,Promenade,Prom.,
Ruelle des Tonneliers,Rle des Tonneliers,Ruelle,Rle,
Route de Marly,Rte de Marly,Route,Rte,
Sentier du Stand,Sent. du Stand,Sentier,Sent.,
,,lémentaire,lem.,
,,econdaire,econd.,
,,rimaire,rim.,
,,aternelle,at.,
,,ommerciale,omm.,
,,Direction,Dir.,
,,Chapelle,Chap.,
,,Cathédrale,Cath.,
,,Notre-Dame,N.D.,
,,Esplanade,Espl.,
,,Faubourg,Fbg.,
,,Place,Pl.,
,,Centre Commercial,CCial.,
,,Immeuble,Imm.,
,,Lotissement,Lot.,
,,Résidence,Rés.,
,,Zone Industrielle,ZI.,
,,Adjudant,Adj.,
,,Agricole,Agric.,
,,Arrondissement,Arrond.,
,,Aspirant,Asp.,
,,Colonel,Col.,
,,Commandant,Cdt.,
,,Commercial,Cial.,
,,Coopérative,Coop.,
,,Division,Div.,
,,Docteur,Dr.,
,,Général,Gén.,
,,Institut,Inst.,
,,Faculté,Fac.,
,,Laboratoire,Labo.,
,,Lieutenant,Lt.,
,,Maréchal,Mal.,
,,Ministère,Min.,
,,Monseigneur,Mgr.,
,,Médiathèque,Médiat.,
,,Bibliothèque,Bibl.,
,,Tribunal,Trib.,
,,Observatoire,Obs.,
,,Périphérique,Périph.,
,,Préfecture,Préf.,
,,Président,Pdt.,
,,Régiment,Rgt.,
,,Saint-,Sᵗ-,
,,Sainte-,Sᵗᵉ-,
,,Sergent,Sgt.,
,,Université,Univ.,
,,Communauté d.[Aa]gglomération,Comm. d''agglo.,
,,Communauté [Uu]rbaine,Comm. urb.,
,,Communauté de [Cc]ommunes,Comm. comm.,
,,Syndicat d.[Aa]gglomération,Synd. d''agglo.,
,,^Institut,Inst.,
,,Zone d.[Aa]ctivité.? [Éeée]conommique.?,Z.A.E.,
,,Zone d.[Aa]ctivité.?,Z.A.,
,,Zone [Aa]rtisanale,Zone Art.,
,,Zone [Ii]ndustrielle,Z.I.,
,,[Pp]ubli(c|que),Publ.,
,,[Pp]rofessionnel(|le),Prof.,
,,[Tt]echnologique,Techno.,
,,[Pp]olyvalent,Polyv.,
,,[EÉeé]tablissement(|s),Éts.,
,,[Mm]unicipal(|e),Munic.,
,,[Dd]épartemental(|e),Départ.,
,,[Ii]ntercommunal(|le),Interco.,
,,[Rr]égional(|e),Région.,
,,[Ii]nterdépartemental(|e),Interdép.,
,,[Hh]ospitali(er|ère),Hospit.,
,,[EÉeé]lectrique,Élect.,
,,[Ss]upérieur(|e),Sup.,
,,^[Bb][aâ]timent,Bât.,
,,[Aa]éronautique,Aéron.,
